"""nome_unidade""";Unidade Pai;"""tipo_logradouro""";"""logradouro""";"""numero""";"""complemento""";"""bairro""";"""cidade""";"""cep""";"""email""";"""titular""";"""telefone""";"""sei_geral""";;;
"""4° SUBCORREGEDORIA DE POLICIA CIVIL""";CORREGEDORIA-GERAL DE POLICIA CIVIL;Avenida;JOAO PINHEIRO;"""417""";"""2 ANDAR""";BOA VIAGEM;BELO HORIZONTE;"""30130-183""";cartorio.4sub.cgpc@pcivil.mg.gov.br;DR. LUCAS OLIVEIRA COUTINHO FERREIRA DE SOUZA;(31) 3348-6098;PCMG/CGPC/4ªSPC;;;
"""5° SUBCORREGEDORIA DE POLICIA CIVIL""";CORREGEDORIA-GERAL DE POLICIA CIVIL;Avenida;JOAO PINHEIRO;"""417""";"""3 ANDAR""";BOA VIAGEM;BELO HORIZONTE;"""30130-183""";cartorioe.cgpc@policiacivil.mg.gov.br;DRA DANIELLE DURAES ALTAF SILVA;(31) 3348-6023;PCMG/CGPC/5ªSPC;;;
ASSESSORIA JURIDICA - CORREGEDORIA;CORREGEDORIA-GERAL DE POLICIA CIVIL;Avenida;JOAO PINHEIRO;"""417""";"""2 ANDAR""";BOA VIAGEM;BELO HORIZONTE;"""30130-183""";asjur.cgpc@policiacivil.mg.gov.br;DR PEDRO HENRIQUE CUNHA;(31) 3348-6086;PCMG/CGPC/GABINETE;;;
CORREGEDORIA-GERAL DE POLICIA CIVIL;CONSELHO;Avenida;JOAO PINHEIRO;"""417""";"""2 ANDAR""";BOA VIAGEM;BELO HORIZONTE;"""30130-183""";gabinete.cgpc@pcivil.mg.gov.br;ELIZABETH DE FREITAS ASSIS ROCHA;(31) 3348-6058;PCMG/CGPC/GABINETE;;;
SUBCORREGEDORIA GERAL DE POLICIA CIVIL;CORREGEDORIA-GERAL DE POLICIA CIVIL;Avenida;JOAO PINHEIRO;"""417""";"""2 ANDAR""";BOA VIAGEM;BELO HORIZONTE;"""30130-183""";gabinete.cgpc@pcivil.mg.gov.br;DRA MARGARETH SUZANA TRAVESSONI GOMES;(31) 3348-6093;PCMG/CGPC/SGPC;;;
"""01 DEPARTAMENTO DE POLICIA CIVIL - BELO HORIZONTE""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;PRACA RIO BRANCO;"""56""";"""""";CENTRO;BELO HORIZONTE;"""30111-050""";cartorio.1dpbh@gmail.com;ROMULO GUIMARAES DIAS;(31) 3257-7091;PCMG/1DepPC/PROTOCOLO;;;
"""02 DEPARTAMENTO DE POLICIA CIVIL - CONTAGEM""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;FRANCISCO MIGUEL;"""152""";"""""";CENTRO;CONTAGEM;"""32041-250""";chefiacartorio.depcontagem@hotmail.com;GISLAINE DE OLIVEIRA RIOS XAVIER;(31) 3257-7410;PCMG/2DepPC/PROTOCOLO;;;
"""03 DEPARTAMENTO DE POLICIA CIVIL - VESPASIANO""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;JOSE FONSECA COTA;"""323""";"""""";JARDIM ITAU;VESPASIANO;"""33200-554""";"""3deppc.cartorio@policiacivil.mg.gov.br""";HELTON COTA LOPES;(31) 3257-7942;PCMG/3DepPC/VESPASIANO/CH CART;;;
"""04 DEPARTAMENTO DE POLICIA CIVIL - JUIZ DE FORA""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;TENENTE GUIMARAES;"""535""";"""""";NOVA ERA;JUIZ DE FORA;"""36087070""";departamento.juizdefora@policiacivil.mg.gov.br;EURICO DA CUNHA NETO;(32) 3692-5650;PCMG/4DEPPC/JF/PROTOCOLO;;;
"""05 DEPARTAMENTO DE POLICIA CIVIL - UBERABA""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;INSPETOR ISIDRO FERREIRA FILHO;"""55""";PREDIO DA 5 RISP;FABRICIO;UBERABA;"""38065-950""";gabinete.5dpc@pcivil.mg.gov.br;DR. CEZAR FELIPE COLOMBARI DA SILVA;(34) 0000-0000;PCMG/5DepPC/UBERABA;;;
"""06 DEPARTAMENTO DE POLICIA CIVIL - LAVRAS""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;IGNACIO VALENTIM;"""0""";CAMPUS HISTORICO UFLA;AQUENTA SOL;LAVRAS;"""37200-900""";departamento.lavras@gmail.com;FERNANDO AUGUSTO BETTIO;(35) 3822-7667;PCMG/6DepPC/LAVRAS;;;
"""07 DEPARTAMENTO DE POLICIA CIVIL - DIVINOPOLIS""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;MOACIR JOSE LEITE;"""100""";"""3 ANDAR""";SANTA CLARA;DIVINOPOLIS;"""35500-119""";departamento.divinopolis@policiacivil.mg.gov.br;DR. FLAVIO TADEU DESTRO;(37) 2102-9753;PCMG/7DepPC/PROTOCOLO;;;
"""08 DEPARTAMENTO DE POLICIA CIVIL - GOVERNADOR VALADARES""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Avenida;MINAS GERAIS;"""2100""";"""3 ANDAR RISP""";GRA DUQUESA;GOVERNADOR VALADARES;"""35057-760""";"""8deppc.governadorvaladares@pcivil.mg.gov.br""";DELEGADO-GERAL VINICIUS SAMPAIO DA COSTA;(33) 2102-9134;PCMG/8DepPC/Gov Valadares/Sec;;;
"""09 DEPARTAMENTO DE POLICIA CIVIL - UBERLANDIA""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Avenida;DOS EUCALIPTOS;"""800""";PRIMEIRO E SEGUNDO ANDARES;JARDIM PATRICIA;UBERLANDIA;"""38414-123""";"""9dpc.uberlandia@policiacivil.mg.gov.br""";GUSTAVO HENRIQUE FERRAZ LOPES SILVA;(34) 3228-4362;PCMG/9DepPC/UBERLÂNDIA;;;
"""10 DEPARTAMENTO DE POLICIA CIVIL - PATOS  DE MINAS""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;CARAJÁS;"""461""";;CAIÇARAS;PATOS DE MINAS;"""38702-188""";secretaria.10deppc@policiacivil.mg.gov.br;JEAN PIERRE BATISTA NEVES;(34) 3171-0921;PCMG/10DepPC/PATOS DE MINAS;;;
"""11 DEPARTAMENTO DE POLICIA CIVIL - MONTES CLAROS""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Avenida;MAJOR ALEXANDRE RODRIGUES;"""301""";"""""";IBITURUNA;MONTES CLAROS;"""39401-301""";expediente11dpc@gmail.com;DR. JURANDIR RODRIGUES CESAR FILHO;(38) 3229-4444;PCMG/11DepPC/MOC/PROTOCOLO;;;
"""12 DEPARTAMENTO DE POLICIA CIVIL - IPATINGA""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;ARGENTINA;"""418""";ESQUINA COM RUA GUATEMALA, 120;CARIRU;IPATINGA;"""35160-083""";"""12departamento@gmail.com""";DR. GILMARO ALVES FERREIRA;(31) 3828-1144;PCMG/12DepPC/ASSESSORIA;;;
"""13 DEPARTAMENTO DE POLICIA CIVIL - BARBACENA""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;GENERAL CAMARA;"""20""";"""""";CENTRO;BARBACENA;"""36200-102""";secretaria.departamento.barbacena@pcivil.mg.gov.br;DR. ALEXSANDER SOARES DINIZ;(32))3339-3061;pcmg/13deppc/barbacena;;;
"""14 DEPARTAMENTO DE POLICIA CIVIL - CURVELO""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Avenida;INTEGRACAO;"""360""";"""""";CENTRO;CURVELO;"""35.790-042""";departamento.curvelo@pcivil.mg.gov.br;DR CARLOS EDUARDO SANTOS RODRIGUES;(38) 3722-8145;PCMG/14DepPC/PROTOCOLO;;;
"""15 DEPARTAMENTO DE POLICIA CIVIL - TEOFILO OTONI""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;LAURO VIEIRA OTONI;"""20""";"""""";SAO DIOGO;TEOFILO OTONI;"""39803-002""";departamento.teofilootoni@pcivil.mg.gov.br;DR. AMAURY TOMAZ TENORIO DE ALBUQUERQUE;(33) 3529-3700;PCMG/15DepPC/T OTONI/GABINETE;;;
"""16 DEPARTAMENTO DE POLICIA CIVIL - UNAI""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;ALBA GONZAGA;"""154""";PRIMEIRO ANDAR;CENTRO;UNAI;"""38.610-021""";departamento.unai@policiacivil.mg.gov.br;DOUGLAS ANTONIO RAMOS MAGELA;(38) 3677-9100;PCMG/16DepPC/UNAÍ;;;
"""17 DEPARTAMENTO DE POLICIA CIVIL - POUSO ALEGRE""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;SILVESTRE FERRAZ;"""226""";"CENTRO*POUSO ALEGRE*""37550-126""*""17dpc.pousoalegre@gmail.com""*PEDRO HENRIQUE RABELO BEZERRA*(35) 3429-5607";;;;;;;;;;
"""18 DEPARTAMENTO DE POLICIA CIVIL - POCOS DE CALDAS""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;OURO PRETO;"""125""";"""""";JARDIM DOS ESTADOS;POCOS DE CALDAS;"""37701-031""";departamento.pocosdecaldas@pcivil.mg.gov.br;DR. MARCOS DE SOUSA PIMENTA;(35) 2101-5101;PCMG/18DepPC/POÇOS DE CALDAS;;;
"""19 DEPARTAMENTO DE POLICIA CIVIL - SETE LAGOAS""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;PRACA BARAO DO RIO BRANCO;"""216""";"""""";CENTRO;SETE LAGOAS;"""35700-029""";"""19departamento.setelagoas@gmail.com""";REINALDO FELICIO LIMA;(31) 3776-4040;PCMG/19DepPC/SETE LAGOAS;;;
DEPARTAMENTO ESTADUAL DE COMBATE A CORRUPCAO E A FRAUDES;SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Avenida;FRANCISCO SALES;"""780""";"""2 ANDAR""";SANTA EFIGENIA;BELO HORIZONTE;"""30150-222""";capa.deif@policiacivil.mg.gov.br;DR. ADRIANO ASSUNCAO MOREIRA;(31) 3217-9710;PCMG/SIPJ/DEF;;;
DEPARTAMENTO ESTADUAL DE COMBATE AO NARCOTRAFICO;SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Avenida;JOSE BONIFACIO;"""07""";"""""";SAO CRISTOVAO;BELO HORIZONTE;"""31210-690""";coordenacao.denarc@policiacivil.mg.gov.br;RODRIGO MACEDO DE BUSTAMANTE;(31) 3236-8601;PCMG/DENARC/GAB;;;
DEPARTAMENTO ESTADUAL DE INVESTIGACAO DE CRIMES CONTRA O MEIO AMBIENTE;SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;BERNARDO GUIMARAES;"""1571""";"""2 ANDAR""";LOURDES;BELO HORIZONTE;"""30.140-081""";dema@pcivil.mg.gov.br;BIANCA LANDAU BRAILE;(31) 3207-2500;PCMG/DEMA/DEOMA/PROTOCOLO;;;
DEPARTAMENTO ESTADUAL DE INVESTIGACAO DE CRIMES CONTRA O PATRIMONIO;SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Avenida;AMAZONAS;"""7.025""";"""""";NOVA GAMELEIRA;BELO HORIZONTE;"""30.510-000""";depatri.adm@policiacivil.mg.gov.br;FELIPE COSTA MARQUES DE FREITAS;(31) 3257-6500;PCMG/DEPATRI;;;
DEPARTAMENTO ESTADUAL DE INVESTIGACAO DE CRIMES DE TRANSITO;SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;SERGIPE;"""57""";"""3 E 4 ANDAR""";BOA VIAGEM;BELO HORIZONTE;"""30130-170""";deictran@policiacivil.mg.gov.br;DR. DANIEL BARCELOS FERREIRA;(31) 3204-1170;PCMG/DEICTRAN/PROTOCOLO;;;
DEPARTAMENTO ESTADUAL DE INVESTIGACAO DE HOMICIDIOS E PROTECAO A PESSOA;SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Avenida;PRESIDENTE ANTONIO CARLOS;"""901""";"""4 ANDAR""";SAO CRISTOVAO;BELO HORIZONTE;"""31210-010""";dhpp@policiacivil.mg.gov.br;THIAGO DE LIMA MACHADO;(31) 3478-7500;PCMG/DIHPP;;;
DEPARTAMENTO ESTADUAL DE INVESTIGACAO ORIENTACAO E PROTECAO A FAMILIA;SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;RIO GRANDE DO SUL;"""661""";"""""";BARRO PRETO;BELO HORIZONTE;"""30170-114""";defam@pcivil.mg.gov.br;DANUBIA HELENA SOARES QUADRO;(31) 3330-5772;PCMG/DEFAM/GABINETE;;;
DEPARTAMENTO ESTADUAL DE OPERACOES ESPECIAIS;SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rua;BERNARDO GUIMARAES;"""1468""";"""""";FUNCIONARIOS;BELO HORIZONTE;"""30140-082""";deoesp@policiacivil.mg.gov.br;ALVARO HOMERO HUERTAS DOS SANTOS;(31) 3257-7169;PCMG/DEOESP/GAB;;;
DIVISAO ESPECIALIZADA OPERACIONAL - DEPATRI;DEPARTAMENTO ESTADUAL DE INVESTIGACAO DE CRIMES CONTRA O PATRIMONIO;Avenida;AVENIDA AMAZONAS;"""7.025""";"""""";NOVA GAMELEIRA;BELO HORIZONTE;"""30.510-000""";depatri.adm@policiacivil.mg.gov.br;JOAO MARCOS DE ANDRADE PRATA;(31) 3257-6501;PCMG/DEPATRI/CDO;;;
DEPARTAMENTO DE TRANSITO DE MINAS GERAIS - DETRAN;CONSELHO;Rodovia;-;"""0""";"""""";-;BELO HORIZONTE;"""0""";sec.chefia.detran@pcivil.mg.gov.br;-;"""0""";-;;;
"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - BARBACENA""";"""13 DEPARTAMENTO DE POLICIA CIVIL - BARBACENA""";Rua;VICTORIO MENEGHIN;"""210""";;PONTILHAO;BARBACENA;"""36.202-346""";cartorio.barbacena@pcivil.mg.gov.br;SAULO DO PRADO RODRIGUES;(32) 3339-3001;pcmg/13deppc/1drpc;;;
"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - CENTRO""";"""01 DEPARTAMENTO DE POLICIA CIVIL - BELO HORIZONTE""";Rua;CONSELHEIRO ROCHA;"""321""";"""""";FLORESTA;BELO HORIZONTE;"""30150-210""";"""1drpccentro@gmail.com""";INGRID ESTEVAM SILVA MIRANDA;(31) 3219-2300;PCMG/BH/1DRPC/CENTRO/PROTOCOLO;;;
